"Position:",0,,,,,,,,
"R64 vs. R32/S16/E8 Path:",,,,,,,,,
,"49\55-58-59",111,110,101,100,11,10,1,0
,1,2,0,6,5,2,2,4,1
,0,0,0,4,2,1,3,2,0
,,,,,,,,,
,,,,,,,,,
"R64 vs. R32/S16 Triplet:",,,,,,,,,
,"49\55-56-58",111,110,101,100,11,10,1,0
,1,1,3,1,8,2,1,2,4
,0,0,1,0,5,3,0,1,2
,,,,,,,,,
,,,,,,,,,
"Position:",50,,,,,,,,
"R64 vs. R32/S16/E8 Path:",,,,,,,,,
,"50\55-58-59",111,110,101,100,11,10,1,0
,1,1,0,7,7,3,5,5,1
,0,1,0,3,0,0,0,1,0
,,,,,,,,,
,,,,,,,,,
"R64 vs. R32/S16 Triplet:",,,,,,,,,
,"50\55-56-58",111,110,101,100,11,10,1,0
,1,0,3,1,11,5,0,3,6
,0,1,1,0,2,0,1,0,0
,,,,,,,,,
,,,,,,,,,
"Position:",51,,,,,,,,
"R64 vs. R32/S16/E8 Path:",,,,,,,,,
,"51\56-58-59",111,110,101,100,11,10,1,0
,1,2,1,1,0,2,2,9,4
,0,1,2,3,1,0,0,3,3
,,,,,,,,,
,,,,,,,,,
"R64 vs. R32/S16 Triplet:",,,,,,,,,
,"51\55-56-58",111,110,101,100,11,10,1,0
,1,1,1,1,9,2,0,3,4
,0,0,3,0,4,3,1,0,2
,,,,,,,,,
,,,,,,,,,
"Position:",52,,,,,,,,
"R64 vs. R32/S16/E8 Path:",,,,,,,,,
,"52\56-58-59",111,110,101,100,11,10,1,0
,1,3,2,4,0,2,2,12,7
,0,0,1,0,1,0,0,0,0
,,,,,,,,,
,,,,,,,,,
"R64 vs. R32/S16 Triplet:",,,,,,,,,
,"52\55-56-58",111,110,101,100,11,10,1,0
,1,1,3,1,13,4,1,3,6
,0,0,1,0,0,1,0,0,0
,,,,,,,,,
,,,,,,,,,
"Position:",53,,,,,,,,
"R32 vs. S16/E8 Triplet:",,,,,,,,,
,"53\57-58-59",111,110,101,100,11,10,1,0
,1,4,4,9,7,1,1,2,0
,0,0,0,4,1,0,0,1,0
,,,,,,,,,
,,,,,,,,,
"Position:",54,,,,,,,,
"R32 vs. S16/E8 Triplet:",,,,,,,,,
,"54\57-58-59",111,110,101,100,11,10,1,0
,1,3,2,6,4,0,0,1,0
,0,1,2,7,4,1,1,2,0
,,,,,,,,,
,,,,,,,,,
"Position:",55,,,,,,,,
"R32 vs. S16/E8 Triplet:",,,,,,,,,
,"55\57-58-59",111,110,101,100,11,10,1,0
,1,2,0,8,7,0,0,2,0
,0,2,4,5,1,1,1,1,0
,,,,,,,,,
,,,,,,,,,
"Position:",56,,,,,,,,
"R32 vs. S16/E8 Triplet:",,,,,,,,,
,"56\57-58-59",111,110,101,100,11,10,1,0
,1,3,3,2,1,0,0,2,0
,0,1,1,11,7,1,1,1,0
