formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TFF,49,50,55,3.564,11,8,2,1,3,6,2,0
FTT,49,50,55,3.564,8,11,2,1,6,3,2,0
FTF,49,50,55,3.564,8,11,2,1,6,3,2,0
FFT,49,50,55,3.564,8,11,2,1,6,3,2,0
FFF,49,50,55,3.564,8,11,2,1,6,3,2,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,51,52,56,6.327,4,16,0,0,5,6,2,0
TTF,51,52,56,6.327,4,16,0,0,5,6,2,0
TFT,51,52,56,6.327,4,16,0,0,5,6,2,0
TFF,51,52,56,6.327,4,16,0,0,5,6,2,0
FTT,51,52,56,3.117,16,4,0,0,6,5,2,0
FTF,51,52,56,3.117,16,4,0,0,6,5,2,0
FFT,51,52,56,3.117,16,4,0,0,6,5,2,0
FFF,51,52,56,3.117,16,4,0,0,6,5,2,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,53,54,57,1.651,12,1,11,3,2,0,3,1
TTF,53,54,57,1.651,12,1,11,3,2,0,3,1
TFT,53,54,57,12.681,12,1,11,3,0,2,1,3
TFF,53,54,57,12.681,12,1,11,3,0,2,1,3
FTT,53,54,57,2.984,13,4,10,0,4,1,1,0
FTF,53,54,57,2.984,13,4,10,0,4,1,1,0
FFT,53,54,57,13.545,13,4,10,0,1,4,0,1
FFF,53,54,57,13.545,13,4,10,0,1,4,0,1
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,55,56,58,11.426,1,4,1,12,5,1,3,6
TTF,55,56,58,11.426,1,4,1,12,5,1,3,6
TFT,55,56,58,8.330,2,3,12,1,6,0,6,3
TFF,55,56,58,8.330,2,3,12,1,6,0,6,3
FTT,55,56,58,12.088,4,8,5,1,1,11,0,3
FTF,55,56,58,12.088,4,8,5,1,1,11,0,3
FFT,55,56,58,5.077,9,3,5,1,11,1,1,2
FFF,55,56,58,5.077,9,3,5,1,11,1,1,2
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,57,58,59,2.424,4,4,12,8,1,1,3,0
TTF,57,58,59,0.503,4,4,9,11,1,1,2,1
TFT,57,58,59,2.634,10,10,3,1,5,1,2,1
TFF,57,58,59,1.972,10,10,3,1,2,4,1,2
FTT,57,58,59,2.424,4,4,12,8,1,1,3,0
FTF,57,58,59,0.503,4,4,9,11,1,1,2,1
FFT,57,58,59,2.634,10,10,3,1,5,1,2,1
FFF,57,58,59,1.972,10,10,3,1,2,4,1,2
